address,area,rooms,criteria,price,Neighbourhood,longitude,latitude
"Eichbuschallee 9D, Plänterwald (Treptow), Berlin",120.0,4.0,"['Provisionsfrei*', 'Keller', '+2']",599000.0,Treptow,13.4861,52.47482
"Lichterfelde (Steglitz), Berlin",165.0,4.0,"['Balkon/Terrasse', 'Keller', '+1']",890000.0,Steglitz,13.31894,52.43294
"Weißensee (Weißensee), Berlin",128.0,5.0,"['Balkon/Terrasse', 'Keller', '+2']",589000.0,Weißensee,13.94571,52.91755
"DGZ-Ring 1-2, Weißensee (Weißensee), Berlin",90.0,4.0,"['Balkon/Terrasse', 'Keller', '+2']",419000.0,Weißensee,13.44095,52.55745
"Mollstraße 3A, Mitte (Mitte), Berlin",113.0,5.0,"['Provisionsfrei*', 'Keller', '+1']",599500.0,Mitte,13.41832,52.52506
"Flotowstrasse 1, Tiergarten (Tiergarten), Berlin",83.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",479400.0,Tiergarten,13.37054,52.51019
"Erasmusstraße 2, Tiergarten (Tiergarten), Berlin",51.0,2.0,"['Provisionsfrei*', 'Keller']",191800.0,Tiergarten,13.37054,52.51019
"Lückstraße 23b, Lichtenberg (Lichtenberg), Berlin",84.0,3.0,"['Provisionsfrei*', 'Keller']",321900.0,Lichtenberg,11.67491,50.37995
"Zachertstraße 8, Friedrichsfelde (Lichtenberg), Berlin",75.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",279500.0,Lichtenberg,13.50255,52.50671
"Zachertstraße 8, Friedrichsfelde (Lichtenberg), Berlin",61.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",289000.0,Lichtenberg,13.50255,52.50671
"Weserstraße 30, Friedrichshain (Friedrichshain), Berlin",69.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",415300.0,Friedrichshain,13.46579,52.51021
"Weserstraße 30, Friedrichshain (Friedrichshain), Berlin",111.0,4.0,"['Provisionsfrei*', 'Keller']",389800.0,Friedrichshain,13.46579,52.51021
"Boxhagener Strasse 102, Friedrichshain (Friedrichshain), Berlin",68.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",313600.0,Friedrichshain,13.46016,52.51256
"Torstraße 227, Mitte (Mitte), Berlin",43.0,1.0,"['Provisionsfrei*', 'Keller', '+1']",419000.0,Mitte,13.38798,52.52748
"Torstraße 225A, Mitte (Mitte), Berlin",61.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",567000.0,Mitte,13.38816,52.52752
"Osloer Str. 110, Wedding (Wedding), Berlin",67.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",355300.0,Wedding,13.38478,52.5555
