address,size,rooms,criteria,price,longitude,latitude,distance,district,neighborhood,id,host_identity_verified,instant_bookable,bed_type,private,luggage_dropoff,stairless,balcony,elevator,moderate,strict,loc,Restaurant,Bar,Café,Coffee Shop,Bakery,Hotel,Ice Cream Shop,Supermarket,Pizza Place,Pub,yearly_incomes_predicted
"Wilmersdorf (Wilmersdorf), Berlin",47.0,2.0,"['Balkon/Terrasse', 'Einbauküche', '+2']",402000.0,13.3311,52.48665,5.261911009021363,Charlottenburg-Wilm.,Wilmersdorf,19,1,1,1,1,1,0,1,0,0,1,Wilmersdorf (nh),10,0,0,1,4,3,0,3,0,0,28029.469
"Holzmarktstraße 73, Mitte (Mitte), Berlin",29.0,1.0,"['Provisionsfrei*', 'Einbauküche', '+1']",199500.0,13.41916,52.5168,1.8599684798242935,Mitte,Mitte,20,1,1,1,1,1,0,0,0,0,1,Mitte (nh),13,1,2,1,3,1,0,3,0,0,25806.197
"Damerowstr. 9, Pankow (Pankow), Berlin",44.0,2.0,"['Provisionsfrei*', 'Keller']",135500.0,13.41753,52.57221,7.772972681995667,Pankow,Pankow,21,1,1,1,1,1,0,0,0,0,1,other,2,0,1,0,0,0,0,2,0,0,20695.65
"Mollstraße 3, Mitte (Mitte), Berlin",33.0,1.0,"['Provisionsfrei*', 'Keller', '+1']",149500.0,13.41806,52.525319999999994,2.6767885543351557,Mitte,Mitte,22,1,1,1,1,1,0,0,0,0,1,Mitte (nh),4,1,0,0,0,6,0,0,0,0,30419.655
"Mollstraße 2, Mitte (Mitte), Berlin",36.0,1.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+3']",199500.0,13.417629999999999,52.5255,2.685529738220384,Mitte,Mitte,23,1,1,1,1,1,0,1,0,0,1,Mitte (nh),5,1,0,0,0,6,0,1,0,0,29468.751
"Mollstraße 3A, Mitte (Mitte), Berlin",45.0,2.0,"['Provisionsfrei*', 'Keller', '+1']",199500.0,13.418320000000001,52.525059999999996,2.656031295506517,Mitte,Mitte,24,1,1,1,1,1,0,0,0,0,1,Mitte (nh),3,1,0,0,0,6,0,0,0,0,29113.005
"Holzmarktstraße 75, Mitte (Mitte), Berlin",29.0,1.0,"['Provisionsfrei*', 'Einbauküche', '+1']",199500.0,13.41898,52.515980000000006,1.7773454484713516,Mitte,Mitte,25,1,1,1,1,1,0,0,0,0,1,Mitte (nh),16,2,2,0,2,1,0,2,0,0,26025.939
"Talstr. 4, Pankow (Pankow), Berlin",43.0,1.5,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",279500.0,13.427175,52.5544559,5.953114025121457,Pankow,Pankow,26,1,1,1,1,1,0,1,0,0,1,other,3,0,0,0,2,0,0,3,0,0,24258.449
"Talstr. 4, Pankow (Pankow), Berlin",64.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",309500.0,13.427175,52.5544559,5.953114025121457,Pankow,Pankow,27,1,1,1,1,1,0,1,0,0,1,other,3,0,0,0,2,0,0,3,0,0,23616.364
"Wadzeckstraße 11, Mitte (Mitte), Berlin",83.0,5.0,"['Provisionsfrei*', 'Keller', '+1']",399500.0,13.41777,52.52488,2.6240892160674973,Mitte,Mitte,28,1,1,1,1,1,0,0,0,0,1,Mitte (nh),4,1,0,0,0,6,0,0,0,0,40813.564
"Keibelstraße 38, Mitte (Mitte), Berlin",70.0,4.0,"['Provisionsfrei*', 'Keller', '+1']",399500.0,13.417179999999998,52.525580000000005,2.6837566740957572,Mitte,Mitte,29,1,1,1,1,1,0,0,0,0,1,Mitte (nh),5,1,0,1,0,6,0,1,0,0,37293.758
"Rochstraße 9, Mitte (Mitte), Berlin",74.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",435000.0,13.40502,52.522290000000005,2.1701785247163254,Mitte,Mitte,30,1,1,1,1,1,0,1,0,0,1,Mitte (nh),10,2,5,5,0,7,4,0,0,0,35229.813
"Arno-Holz-Str. 5, Steglitz (Steglitz), Berlin",28.0,1.0,"['Einbauküche', 'Keller']",147000.0,13.30955,52.45848,8.082351646203701,Steglitz - Zehlendorf,Steglitz,31,1,1,1,1,1,0,0,0,0,1,other,4,0,2,0,0,0,0,0,0,0,20515.81
"Talstr. 4, Pankow (Pankow), Berlin",70.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",449500.0,13.427175,52.5544559,5.953114025121457,Pankow,Pankow,32,1,1,1,1,1,0,1,0,0,1,other,3,0,0,0,2,0,0,3,0,0,34954.714
"Voltairestraße 11, Mitte (Mitte), Berlin",53.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",459500.0,13.414979999999998,52.51771,1.814186125567354,Mitte,Mitte,33,1,1,1,1,1,0,1,0,0,1,Mitte (nh),5,0,2,3,1,2,0,1,0,0,31223.034
"Köpenick (Köpenick), Berlin",28.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",100000.0,13.57474,52.44602,13.16441352320438,Treptow - Köpenick,Köpenick,34,1,1,1,1,1,0,1,0,0,1,other,9,2,6,0,0,1,1,0,0,0,23565.503
"Schubartstraße 45, Wittenau (Reinickendorf), Berlin",95.0,3.0,"['Garten', 'Keller', '+1']",425000.0,13.30287,52.58384,11.321228324553358,Reinickendorf,Wittenau,35,1,1,1,1,1,0,0,0,0,1,other,0,0,0,0,0,0,0,1,0,0,26429.455
"Talstr. 4, Pankow (Pankow), Berlin",43.0,1.5,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",279500.0,13.427175,52.5544559,5.953114025121457,Pankow,Pankow,36,1,1,1,1,1,0,1,0,0,1,other,3,0,0,0,2,0,0,3,0,0,24258.449
"Voltairestraße 11, Mitte (Mitte), Berlin",54.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",459500.0,13.414979999999998,52.51771,1.814186125567354,Mitte,Mitte,37,1,1,1,1,1,0,1,0,0,1,Mitte (nh),5,0,2,3,1,2,0,1,0,0,30964.233
"Triftstraße 19, Französisch Buchholz (Pankow), Berlin",110.0,4.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+3']",457000.0,13.430520000000001,52.61094,12.158067124903258,Pankow,Französisch Buchholz,38,1,1,1,1,1,0,1,0,0,1,other,0,0,0,0,0,0,0,2,0,0,40687.676
"Eichbuschallee 9D, Plänterwald (Treptow), Berlin",120.0,4.0,"['Provisionsfrei*', 'Keller', '+2']",599000.0,13.4861,52.474819999999994,6.359179019746197,Treptow - Köpenick,Plänterwald,39,1,1,1,1,1,0,0,0,0,1,other,0,0,0,0,0,0,2,0,0,0,38669.815
"Lichterfelde (Steglitz), Berlin",165.0,4.0,"['Balkon/Terrasse', 'Keller', '+1']",890000.0,13.31894,52.43294,9.676902348933652,Steglitz - Zehlendorf,Lichterfelde,40,1,1,1,1,1,0,1,0,0,1,other,1,0,1,0,1,0,0,0,0,0,57237.452
"DGZ-Ring 1-2, Weißensee (Weißensee), Berlin",90.0,4.0,"['Balkon/Terrasse', 'Keller', '+2']",419000.0,13.44095,52.55745,6.568463149227286,Pankow,Weißensee,41,1,1,1,1,1,0,1,0,0,1,other,0,0,0,0,0,0,0,1,0,0,33462.885
"Mollstraße 3A, Mitte (Mitte), Berlin",113.0,5.0,"['Provisionsfrei*', 'Keller', '+1']",599500.0,13.418320000000001,52.525059999999996,2.656031295506517,Mitte,Mitte,42,1,1,1,1,1,0,0,0,0,1,Mitte (nh),3,1,0,0,0,6,0,0,0,0,57976.763
"Flotowstrasse 1, Tiergarten (Tiergarten), Berlin",83.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",479400.0,13.37054,52.51019,2.4206679753659914,Mitte,Potsdamer Platz,43,1,1,1,1,1,0,1,0,0,1,Mitte,14,9,4,4,2,4,2,1,1,0,36374.326
"Erasmusstraße 2, Tiergarten (Tiergarten), Berlin",51.0,2.0,"['Provisionsfrei*', 'Keller']",191800.0,13.37054,52.51019,2.4206679753659914,Mitte,Potsdamer Platz,44,1,1,1,1,1,0,0,0,0,1,Mitte,14,9,4,4,2,4,2,1,1,0,29278.514
"Zachertstraße 8, Friedrichsfelde (Lichtenberg), Berlin",75.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",279500.0,13.50255,52.50671,6.673072730729368,Lichtenberg,Friedrichsfelde,45,1,1,1,1,1,0,1,0,0,1,Lichtenberg,3,0,0,2,2,1,0,4,1,0,32425.433
"Zachertstraße 8, Friedrichsfelde (Lichtenberg), Berlin",61.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",289000.0,13.50255,52.50671,6.673072730729368,Lichtenberg,Friedrichsfelde,46,1,1,1,1,1,0,1,0,0,1,Lichtenberg,3,0,0,2,2,1,0,4,1,0,26124.851
"Weserstraße 30, Friedrichshain (Friedrichshain), Berlin",69.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",415300.0,13.46579,52.51021,4.251565713459401,Friedrichshain-Kreuzberg,Friedrichshain,47,1,1,1,1,1,0,1,0,0,1,Friedrichshain (nh),23,11,11,3,2,0,3,0,1,0,30765.566
"Weserstraße 30, Friedrichshain (Friedrichshain), Berlin",111.0,4.0,"['Provisionsfrei*', 'Keller']",389800.0,13.46579,52.51021,4.251565713459401,Friedrichshain-Kreuzberg,Friedrichshain,48,1,1,1,1,1,0,0,0,0,1,Friedrichshain (nh),23,11,11,3,2,0,3,0,1,0,40310.012
