id,categories
7071,Clothing Store
7071,Yoga Studio
7071,Jazz Club
7071,Art Gallery
7071,Café
7071,Bakery
7071,Bar
7071,German Restaurant
7071,Beer Store
7071,Wine Bar
7071,Greek Restaurant
7071,Plaza
7071,African Restaurant
7071,Breakfast Spot
7071,Bar
7071,Vietnamese Restaurant
7071,Bar
7071,Ramen Restaurant
7071,Cocktail Bar
7071,Japanese Restaurant
7071,Photography Studio
7071,Gastropub
7071,Italian Restaurant
7071,Doner Restaurant
7071,Korean Restaurant
7071,History Museum
7071,Hobby Shop
7071,French Restaurant
7071,Gourmet Shop
7071,Korean Restaurant
7071,Falafel Restaurant
7071,Hostel
7071,Bar
7071,Trattoria/Osteria
7071,Cosmetics Shop
7071,Café
7071,Burger Joint
7071,Dumpling Restaurant
7071,Café
7071,Falafel Restaurant
7071,Organic Grocery
7071,Bar
7071,Falafel Restaurant
7071,Mexican Restaurant
7071,Playground
7071,Ice Cream Shop
7071,Seafood Restaurant
7071,Café
7071,Bike Rental / Bike Share
7071,Boutique
7071,Bar
7071,Indian Restaurant
7071,Ice Cream Shop
7071,Bookstore
7071,Café
7071,Bar
7071,Sports Bar
7071,Bar
7071,Hawaiian Restaurant
7071,Seafood Restaurant
7071,Toy / Game Store
7071,Winery
7071,Sushi Restaurant
7071,Bar
7071,Dim Sum Restaurant
7071,Asian Restaurant
7071,Café
7071,Vietnamese Restaurant
7071,Italian Restaurant
7071,Health & Beauty Service
7071,Deli / Bodega
7071,Café
7071,Café
7071,Bar
7071,Doner Restaurant
7071,Vietnamese Restaurant
7071,Pool Hall
7071,Music Venue
7071,Italian Restaurant
7071,Coffee Shop
7071,Outdoor Supply Store
7071,Bakery
7071,Beer Garden
7071,Bookstore
14325,Vietnamese Restaurant
14325,Vietnamese Restaurant
14325,Burger Joint
14325,Wine Bar
14325,Sushi Restaurant
14325,Pub
14325,Bar
14325,Café
14325,Café
14325,Israeli Restaurant
14325,Coffee Shop
14325,Park
14325,Coffee Shop
14325,Japanese Restaurant
14325,Bar
14325,Coffee Shop
14325,Park
14325,Comfort Food Restaurant
14325,Theater
14325,Café
14325,Chinese Restaurant
14325,Caucasian Restaurant
14325,Café
14325,Tapas Restaurant
14325,Café
14325,Supermarket
14325,Grocery Store
14325,Farm
14325,Ice Cream Shop
14325,Vietnamese Restaurant
14325,Playground
14325,Tunnel
14325,Forest
14325,Supermarket
14325,Hotel
14325,Lake
14325,Playground
14325,Shipping Store
14325,Bakery
16644,French Restaurant
16644,Italian Restaurant
16644,Cocktail Bar
16644,Bar
16644,Ice Cream Shop
16644,BBQ Joint
16644,Food Court
16644,Trattoria/Osteria
16644,Bakery
16644,Restaurant
16644,Bar
16644,Brewery
16644,German Restaurant
16644,Street Food Gathering
16644,Cheese Shop
16644,Coffee Shop
16644,Italian Restaurant
16644,Wine Bar
16644,Hotel
16644,German Restaurant
16644,Nightclub
16644,Trail
16644,Hotel
16644,German Restaurant
16644,Hotel
16644,Austrian Restaurant
16644,Multiplex
16644,Cantonese Restaurant
16644,Performing Arts Venue
16644,Public Art
16644,Hotel Bar
16644,Bowling Alley
16644,Bavarian Restaurant
16644,Bar
16644,Park
16644,Hotel
16644,Event Space
16644,Nightclub
20858,Indie Theater
20858,Vegetarian / Vegan Restaurant
20858,Record Shop
20858,Vegetarian / Vegan Restaurant
20858,German Restaurant
20858,Vietnamese Restaurant
20858,Vegetarian / Vegan Restaurant
20858,American Restaurant
20858,Wine Bar
20858,Middle Eastern Restaurant
20858,Café
20858,Breakfast Spot
20858,Beer Bar
20858,Bar
20858,Sushi Restaurant
20858,Pizza Place
20858,Restaurant
20858,Coffee Shop
20858,Japanese Restaurant
20858,Italian Restaurant
20858,Vegetarian / Vegan Restaurant
20858,Hotel
20858,Seafood Restaurant
20858,Coffee Shop
20858,Church
20858,Ice Cream Shop
20858,Breakfast Spot
20858,Beer Garden
20858,Farmers Market
20858,Plaza
20858,Dessert Shop
20858,Plaza
20858,Juice Bar
20858,Middle Eastern Restaurant
20858,Hostel
20858,French Restaurant
20858,Bar
20858,Bar
20858,Doner Restaurant
20858,Flea Market
20858,Ice Cream Shop
20858,Café
20858,Wine Bar
20858,Pizza Place
20858,Pub
20858,Gym / Fitness Center
20858,German Restaurant
20858,Vietnamese Restaurant
20858,Playground
20858,Bakery
20858,Wine Bar
20858,Pizza Place
20858,Street Food Gathering
20858,Music Venue
20858,Bar
20858,French Restaurant
20858,Pizza Place
20858,Multiplex
20858,Café
20858,Event Space
23834,Park
23834,Waterfall
23834,Italian Restaurant
23834,Italian Restaurant
23834,Scenic Lookout
23834,Breakfast Spot
23834,Sculpture Garden
23834,Café
23834,Cocktail Bar
23834,Dance Studio
23834,Café
23834,Italian Restaurant
23834,Asian Restaurant
23834,Organic Grocery
23834,Bagel Shop
23834,Café
23834,Beer Store
23834,Bar
23834,Pastry Shop
23834,Jazz Club
23834,Ice Cream Shop
23834,Café
23834,Bar
23834,Beer Bar
23834,Adult Boutique
23834,Japanese Restaurant
23834,Café
23834,Park
23834,Italian Restaurant
23834,Beer Garden
23834,Café
23834,Café
23834,Trattoria/Osteria
23834,Gay Bar
23834,Gay Bar
23834,Italian Restaurant
23834,Bar
23834,Automotive Shop
23834,Café
23834,Gay Bar
23834,Supermarket
23834,Supermarket
23834,Supermarket
23834,Food & Drink Shop
23834,Bakery
23834,Playground
24569,Historic Site
24569,Israeli Restaurant
24569,Coffee Shop
24569,Modern European Restaurant
24569,Austrian Restaurant
24569,Tea Room
24569,German Restaurant
24569,Park
24569,Park
24569,Bistro
24569,Playground
24569,Ice Cream Shop
24569,Boutique
24569,Supermarket
24569,Historic Site
24569,Gym / Fitness Center
24569,Hotel
24569,Roof Deck
24569,Bar
24569,Gym / Fitness Center
24569,Cocktail Bar
24569,Deli / Bodega
24569,Vietnamese Restaurant
24569,American Restaurant
24569,Movie Theater
24569,Beer Bar
24569,German Restaurant
24569,Wine Bar
24569,Bistro
24569,Italian Restaurant
24569,Coffee Shop
24569,Cooking School
24569,Cocktail Bar
24569,Deli / Bodega
24569,Spa
24569,Wine Shop
24569,Hotel
24569,Cosmetics Shop
24569,Café
24569,Thai Restaurant
24569,Hotel
24569,Hotel
24569,Coffee Shop
24569,Russian Restaurant
24569,Bookstore
24569,Café
24569,Coffee Shop
24569,Gastropub
24569,Coffee Shop
24569,Beer Store
24569,Breakfast Spot
24569,Vegetarian / Vegan Restaurant
24569,Italian Restaurant
24569,General Entertainment
24569,Breakfast Spot
24569,Drugstore
24569,Currywurst Joint
24569,Dive Bar
24569,Sauna / Steam Room
24569,Bar
24569,Vegetarian / Vegan Restaurant
24569,Gym / Fitness Center
24569,Supermarket
24569,Bar
24569,Liquor Store
24569,Vietnamese Restaurant
24569,Cocktail Bar
24569,Italian Restaurant
24569,Butcher
24569,Bar
24569,Burger Joint
24569,Café
24569,Bistro
24569,Soup Place
24569,Chinese Restaurant
24569,Korean Restaurant
24569,Organic Grocery
24569,Plaza
24569,Clothing Store
24569,Italian Restaurant
24569,Turkish Restaurant
24569,Liquor Store
24569,French Restaurant
24569,Restaurant
24569,Rock Club
24569,Indian Restaurant
24569,Gym / Fitness Center
24569,Bagel Shop
24569,Brewery
24569,Theater
24569,Israeli Restaurant
24569,Bar
24569,Café
24569,Vietnamese Restaurant
24569,Food & Drink Shop
24569,Ramen Restaurant
24569,Hotel
24569,Hostel
24569,Thai Restaurant
24569,Italian Restaurant
28156,Vietnamese Restaurant
28156,Vietnamese Restaurant
28156,Burger Joint
28156,Wine Bar
28156,Café
28156,Park
28156,Park
28156,Sushi Restaurant
28156,Bar
28156,Coffee Shop
28156,Japanese Restaurant
28156,Pub
28156,Karaoke Bar
28156,Comfort Food Restaurant
28156,Israeli Restaurant
28156,Café
28156,Coffee Shop
28156,Café
28156,Chinese Restaurant
28156,Theater
28156,Tapas Restaurant
28156,Farm
28156,Ice Cream Shop
28156,Forest
28156,Café
28156,Tunnel
28156,Supermarket
28156,Hotel
28156,Lake
28156,Playground
28156,Shipping Store
29279,Beer Bar
29279,Gourmet Shop
29279,Boutique
29279,Candy Store
29279,Bar
29279,Winery
29279,Café
29279,Bar
29279,Trattoria/Osteria
29279,Dumpling Restaurant
29279,Beer Bar
29279,Middle Eastern Restaurant
29279,Café
29279,Japanese Restaurant
29279,Falafel Restaurant
29279,Café
29279,Bakery
29279,Planetarium
29279,Coffee Shop
29279,Falafel Restaurant
29279,Bar
29279,Organic Grocery
29279,Jewelry Store
29279,Gastropub
29279,Beer Bar
29279,Café
29279,French Restaurant
29279,Café
29279,Middle Eastern Restaurant
29279,Italian Restaurant
29279,Italian Restaurant
29279,Donut Shop
29279,Park
29279,Ice Cream Shop
29279,Café
29279,Empanada Restaurant
29279,Vietnamese Restaurant
29279,Cocktail Bar
