address,area,rooms,criteria,price
"Köpenick (Köpenick), Berlin","28,74 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",100.000 €
"Libauer Str. 6, Friedrichshain (Friedrichshain), Berlin","178,36 m²",5 Zi.5,"['Provisionsfrei*', 'Balkon/Terrasse']",1.159.000 €
"Schubartstraße 45, Wittenau (Reinickendorf), Berlin","95,68 m²",3 Zi.3,"['Garten', 'Keller', '+1']",425.000 €
"Talstr. 4, Pankow (Pankow), Berlin","43,51 m²","1,5 Zi.1,5","['Provisionsfrei*', 'Balkon/Terrasse', '+2']",279.500 €
"Voltairestraße 11, Mitte (Mitte), Berlin","54,4 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",459.500 €
"Güntzelstraße 26, Wilmersdorf (Wilmersdorf), Berlin","159,26 m²",5 Zi.5,"['Balkon/Terrasse', 'Keller', '+1']",1.029.000 €
"Charlottenburg (Charlottenburg), Berlin",162 m²,6 Zi.6,"['Balkon/Terrasse', 'Einbauküche', '+3']",1.199.000 €
"Triftstraße 19, Französisch Buchholz (Pankow), Berlin",110 m²,4 Zi.4,"['Provisionsfrei*', 'Balkon/Terrasse', '+3']",457.000 €
"Kreuzberg (Kreuzberg), Berlin",355 m²,3 Zi.3,['Einbauküche'],3.750.000 €
"Friedrichshain (Friedrichshain), Berlin","192,8 m²",4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', '+4']",1.990.000 €
"Rosenthal (Pankow), Berlin","58,00 - 108,00 m²",Sofort,,229.000 - 579.000 €
"Eichbuschallee 9D, Plänterwald (Treptow), Berlin","120,85 m²",4 Zi.4,"['Provisionsfrei*', 'Keller', '+2']",599.000 €
"Wilmersdorf (Wilmersdorf), Berlin",212 m²,"5,5 Zi.5,5","['Balkon/Terrasse', 'Einbauküche', '+3']",1.198.000 €
"Oraniendamm 1-3, Wittenau (Reinickendorf), Berlin","39,00 - 90,00 m²",Ende 2021,,194.000 - 459.000 €
"Stallschreiber Straße 17-30, Mitte (Mitte), Berlin","40,00 - 164,00 m²",November 2019 - Juni 2020,,289.000 - 1.515.000 €
"Lichterfelde (Steglitz), Berlin","165,21 m²",4 Zi.4,"['Balkon/Terrasse', 'Keller', '+1']",890.000 €
