address,area,rooms,criteria,price
"Adlershof (Treptow), Berlin",51 m²,2 Zi.2,"['Balkon/Terrasse', 'Keller']",125.000 €
"Pankow (Pankow), Berlin",165 m²,4 Zi.4,"['Balkon/Terrasse', 'Gäste-WC', 'Aufzug']",1.155.000 €
"Pankow (Pankow), Berlin",123 m²,4 Zi.4,"['Balkon/Terrasse', 'Gäste-WC', 'Aufzug']",861.000 €
"Pankow (Pankow), Berlin",151 m²,4 Zi.4,"['Balkon/Terrasse', 'Gäste-WC', 'Aufzug']",1.057.000 €
"Schöneberg (Schöneberg), Berlin",96 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+3']",890.000 €
"Spandau (Spandau), Berlin",78 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",240.000 €
"Charlottenburg (Charlottenburg), Berlin",59 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",299.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin","80,77 m²",3 Zi.3,['Keller'],523.000 €
"Köpenick (Köpenick), Berlin",91 m²,3 Zi.3,"['Balkon/Terrasse', 'Keller', 'Gäste-WC', '+1']",416.500 €
"Köpenick (Köpenick), Berlin",66 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+1']",299.000 €
"Schöneberg (Schöneberg), Berlin","75,74 m²",2 Zi.2,"['Balkon/Terrasse', 'Keller']",318.000 €
"Schöneberg (Schöneberg), Berlin","73,03 m²",2 Zi.2,"['Balkon/Terrasse', 'Keller']",307.000 €
"Köpenick (Köpenick), Berlin",243 m²,7 Zi.7,"['Balkon/Terrasse', 'Keller', 'Gäste-WC', '+2']",998.000 €
"Charlottenburg (Charlottenburg), Berlin",72 m²,3 Zi.3,['Keller'],299.000 €
"Schöneberg (Schöneberg), Berlin","125,91 m²",4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",419.000 €
"Habsburgerstr. 8, Schöneberg (Schöneberg), Berlin","170,45 m²",5 Zi.5,"['Balkon/Terrasse', 'Aufzug']",679.000 €
"Zehlendorf (Zehlendorf), Berlin","92,62 m²",3 Zi.3,"['Balkon/Terrasse', 'Gäste-WC']",219.000 €
"Ossietskystr. 9, Pankow (Pankow), Berlin","153,35 m²",5 Zi.5,"['Balkon/Terrasse', 'Gäste-WC', 'Aufzug']",689.000 €
"Hohenstaufenstr. 4, Schöneberg (Schöneberg), Berlin","167,42 m²",4 Zi.4,['Balkon/Terrasse'],669.000 €
"Friedrichshain (Friedrichshain), Berlin",90 m²,4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",370.000 €
"Wundtstraße 24, Charlottenburg (Charlottenburg), Berlin","60,5 m²","1,5 Zi.1,5",,259.000 €
"Fritschestraße 29a, Charlottenburg (Charlottenburg), Berlin",53 m²,2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', 'Einbauküche', '+1']",320.000 €
"Wedding (Wedding), Berlin","55,76 m²",2 Zi.2,"['Einbauküche', 'Keller']",178.000 €
"Charlottenburg (Charlottenburg), Berlin",56 m²,2 Zi.2,"['Balkon/Terrasse', 'Keller', 'Aufzug']",249.000 €
"Charlottenburg (Charlottenburg), Berlin","35,59 m²",1 Zi.1,"['Balkon/Terrasse', 'Keller', 'Aufzug']",149.000 €
"Grünau (Köpenick), Berlin","51,01 m²","1,5 Zi.1,5","['Balkon/Terrasse', 'Einbauküche']",189.700 €
"Spandau (Spandau), Berlin",77 m²,3 Zi.3,"['Balkon/Terrasse', 'Garten', 'Keller', '+1']",249.000 €
"Neu-Hohenschönhausen (Hohenschönhausen), Berlin","72,16 m²",4 Zi.4,"['Balkon/Terrasse', 'Einbauküche']",212.000 €
"Rodenbergstraße 0, Prenzlauer Berg (Prenzlauer Berg), Berlin","38,1 m²",2 Zi.2,['Keller'],175.000 €
"Friedenau (Schöneberg), Berlin","56,19 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",264.800 €
"Neukölln (Neukölln), Berlin",40 m²,1 Zi.1,,155.000 €
"Schwartzkopffstr. 3, Mitte (Mitte), Berlin","56,2 m²",1 Zi.1,"['Einbauküche', 'Keller']",221.900 €
"Zepernicker Str. 2, Buch (Pankow), Berlin",71 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",208.000 €
"Mühsamstr. 24, Friedrichshain (Friedrichshain), Berlin","56,55 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche']",235.000 €
"Nürnberger Straße 27, Charlottenburg (Charlottenburg), Berlin",112 m²,3 Zi.3,"['Balkon/Terrasse', 'Keller']",679.000 €
"Schmargendorf (Wilmersdorf), Berlin","82,66 m²",3 Zi.3,['Provisionsfrei*'],273.000 €
"Schmargendorf (Wilmersdorf), Berlin","84,77 m²",3 Zi.3,['Provisionsfrei*'],279.000 €
"Stendaler Straße 10, Tiergarten (Tiergarten), Berlin","31,81 m²",1 Zi.1,"['Provisionsfrei*', 'Balkon/Terrasse', 'Keller', '+1']",114.900 €
"Wilmersdorf (Wilmersdorf), Berlin","67,04 m²",2 Zi.2,,403.000 €
"Charlottenburg (Charlottenburg), Berlin","70,59 m²",2 Zi.2,,455.000 €
"Rheinsbergerstr. 36, Mitte (Mitte), Berlin",80 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Aufzug']",585.000 €
"Friedrichshain (Friedrichshain), Berlin",133 m²,3 Zi.3,"['Balkon/Terrasse', 'Keller', 'Gäste-WC', '+1']",1.460.000 €
"Friedrichshain (Friedrichshain), Berlin",167 m²,4 Zi.4,"['Balkon/Terrasse', 'Keller', 'Gäste-WC', '+1']",1.800.000 €
"Friedrichshain (Friedrichshain), Berlin",192 m²,5 Zi.5,"['Balkon/Terrasse', 'Garten', 'Keller', '+2']",1.940.000 €
"Mitte (Mitte), Berlin","85,2 m²",3 Zi.3,,699.000 €
"Wilmersdorf (Wilmersdorf), Berlin",276 m²,4 Zi.4,"['Balkon/Terrasse', 'Aufzug']",2.350.000 €
"Wilmersdorf (Wilmersdorf), Berlin",167 m²,4 Zi.4,['Aufzug'],1.352.000 €
"Mitte (Mitte), Berlin",186 m²,4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+2']",2.200.000 €
"Wilmersdorf (Wilmersdorf), Berlin",135 m²,4 Zi.4,['Einbauküche'],1.190.000 €
"Mitte (Mitte), Berlin","138,5 m²",3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",998.000 €
"Karlshorst (Lichtenberg), Berlin",198 m²,7 Zi.7,"['Balkon/Terrasse', 'Einbauküche', 'Gäste-WC']",820.000 €
"Friedrichshain (Friedrichshain), Berlin",100 m²,4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",550.000 €
"Köpenick (Köpenick), Berlin","50,81 m²","1,5 Zi.1,5","['Balkon/Terrasse', 'Einbauküche', 'Garten', '+3']","157.002,90 €"
"Corinthstraße xx, Friedrichshain (Friedrichshain), Berlin","96,61 m²",3 Zi.3,"['Garten', 'Keller']",359.000 €
"Köpenick (Köpenick), Berlin","56,77 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+3']","175.419,30 €"
"Koenigsallee X, Grunewald (Wilmersdorf), Berlin","213,68 m²",3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+3']",999.000 €
"Schöneberg (Schöneberg), Berlin","170,45 m²",5 Zi.5,"['Einbauküche', 'Garten', 'Keller', '+1']",679.000 €
"Habsburger Straße X, Schöneberg (Schöneberg), Berlin","170,45 m²",5 Zi.5,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+2']",679.000 €
"Mitte (Mitte), Berlin",96 m²,4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",790.000 €
"Schöneberg (Schöneberg), Berlin","134,82 m²",3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+2']",559.000 €
"Detmolder-Straße X, Wilmersdorf (Wilmersdorf), Berlin","186,5 m²",5 Zi.5,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+3']",699.000 €
"Hermsdorfer Damm XX, Hermsdorf (Reinickendorf), Berlin",112 m²,4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+1']",515.000 €
"Chausseestraße XX, Wannsee (Zehlendorf), Berlin",85 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Garten']",560.000 €
"Altglienicke (Treptow), Berlin","87,93 m²",3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+2']",284.500 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",69 m²,"2,5 Zi.2,5","['Einbauküche', 'Aufzug', 'Stufenlos']",374.000 €
"Schöneberg (Schöneberg), Berlin","68,35 m²",2 Zi.2,['Keller'],205.000 €
"Charlottenburg (Charlottenburg), Berlin","46,50 - 200,57 m²",Ende 2021,,329.000 - 1.699.000 €
"Triftstraße 19, Französisch Buchholz (Pankow), Berlin","61,00 - 143,00 m²",4.Quartal 2021,,268.000 - 597.000 €
"Kiefholzstr. 22, Treptow (Treptow), Berlin","20,00 - 63,00 m²",voraussichtlich IV.Quartal 2021,,149.240 - 497.352 €
"Dahlem (Zehlendorf), Berlin",162 m²,5 Zi.5,['Provisionsfrei*'],1.075.000 €
"Rosenthal (Pankow), Berlin",64 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Aufzug', '+1']",258.000 €
"Steglitz (Steglitz), Berlin","70,5 m²","2,5 Zi.2,5","['Balkon/Terrasse', 'Einbauküche']",370.000 €
"Schmargendorf (Wilmersdorf), Berlin",70 m²,"2,5 Zi.2,5","['Balkon/Terrasse', 'Gäste-WC']",295.000 €
"Schmargendorf (Wilmersdorf), Berlin",70 m²,"2,5 Zi.2,5","['Balkon/Terrasse', 'Gäste-WC']",295.000 €
"Neukölln (Neukölln), Berlin",104 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",535.000 €
"Friedrichshain (Friedrichshain), Berlin",61 m²,2 Zi.2,"['Balkon/Terrasse', 'Keller', 'Aufzug']",289.000 €
"Schlüterstraße 7, Charlottenburg (Charlottenburg), Berlin","55,23 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",304.000 €
"Zähringerstraße 6, Wilmersdorf (Wilmersdorf), Berlin","54,93 m²",2 Zi.2,"['Balkon/Terrasse', 'Keller', 'Aufzug']",260.000 €
"Esmarchstraße 17, Prenzlauer Berg (Prenzlauer Berg), Berlin","87,85 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller']",400.000 €
"Karl-Stieler-Straße 18, Steglitz (Steglitz), Berlin","62,64 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Garten']",355.000 €
"Loschmidtstraße 1, Charlottenburg (Charlottenburg), Berlin","67,9 m²","2,5 Zi.2,5","['Balkon/Terrasse', 'Keller', 'Aufzug']",255.983 €
"Rosenthal (Pankow), Berlin","62,13 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+1']",198.000 €
"Spandau (Spandau), Berlin","65,24 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",189.000 €
"Grunewald (Wilmersdorf), Berlin",120 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",780.000 €
"Niederschönhausen (Pankow), Berlin","33,9 m²",1 Zi.1,"['Einbauküche', 'Aufzug']",99.000 €
"Steglitz (Steglitz), Berlin",85 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Garten']",490.000 €
"Spandau (Spandau), Berlin","91,1 m²",3 Zi.3,['Keller'],299.000 €
"Göhrener Str. 12, Prenzlauer Berg (Prenzlauer Berg), Berlin","107,76 m²",4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', 'Gäste-WC', '+1']",850.000 €
"Grünau (Köpenick), Berlin","80,34 m²",3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",275.000 €
"Steglitz (Steglitz), Berlin",56 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",195.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",120 m²,4 Zi.4,['Keller'],650.000 €
"Pankow (Pankow), Berlin","56,61 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller']",179.000 €
"Tiergarten (Tiergarten), Berlin",64 m²,3 Zi.3,"['Einbauküche', 'Keller']",288.000 €
"Fregestraße 9+, Friedenau (Schöneberg), Berlin","56,4 m²",2 Zi.2,"['Balkon/Terrasse', 'Keller']",289.000 €
"Schmargendorf (Wilmersdorf), Berlin",96 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+2']",649.000 €
"Steglitz (Steglitz), Berlin","71,3 m²",3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",270.000 €
"Wilmersdorf (Wilmersdorf), Berlin",48 m²,2 Zi.2,"['Einbauküche', 'Keller']",150.000 €
"Friedenau (Schöneberg), Berlin","142,4 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller', 'Gäste-WC']",459.000 €
"Klixstr. 3*., Schöneberg (Schöneberg), Berlin","62,24 m²",2 Zi.2,,299.000 €
"Rosenthal (Pankow), Berlin",83 m²,3 Zi.3,,315.000 €
"Rosenthal (Pankow), Berlin","45,1 m²",1 Zi.1,['Balkon/Terrasse'],210.000 €
"Schöneberg (Schöneberg), Berlin",126 m²,3 Zi.3,"['Einbauküche', 'Keller']",699.000 €
"Kreuzberg (Kreuzberg), Berlin",151 m²,5 Zi.5,['Keller'],640.000 €
"Mitte (Mitte), Berlin",161 m²,4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', 'Gäste-WC', '+1']",1.195.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",67 m²,3 Zi.3,,470.000 €
"Weißensee (Weißensee), Berlin",89 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",399.000 €
"Mariendorf (Tempelhof), Berlin",62 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche']",239.000 €
"Lankwitz (Steglitz), Berlin",66 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",229.000 €
"Isarstraße 12, Neukölln (Neukölln), Berlin","28,11 m²",1 Zi.1,,75.000 €
"Friedrichshain (Friedrichshain), Berlin",97 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+2']",690.000 €
"Schöneberg (Schöneberg), Berlin",34 m²,1 Zi.1,,145.000 €
"Johannisthal (Treptow), Berlin",59 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+1']",269.000 €
"Charlottenburg (Charlottenburg), Berlin",81 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche']",320.000 €
"Tempelhof (Tempelhof), Berlin",59 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",315.000 €
"Friedrichshain (Friedrichshain), Berlin",66 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+1']",430.000 €
"Mitte (Mitte), Berlin",49 m²,2 Zi.2,,315.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",64 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+3']",349.000 €
"Jablonskistraße 24#, Prenzlauer Berg (Prenzlauer Berg), Berlin","87,5 m²",3 Zi.3,"['Balkon/Terrasse', 'Aufzug']",399.000 €
"Corinthstr. 28#, Friedrichshain (Friedrichshain), Berlin","41,06 m²",2 Zi.2,"['Provisionsfrei*', 'Keller', 'Aufzug']",195.748 €
"Nürnberger Straße 27#, Charlottenburg (Charlottenburg), Berlin",112 m²,3 Zi.3,,579.000 €
"Kavalierstr. 19c#, Pankow (Pankow), Berlin",98 m²,3 Zi.3,"['Balkon/Terrasse', 'Keller']",489.000 €
"Nürnberger Straße 27#, Charlottenburg (Charlottenburg), Berlin",112 m²,3 Zi.3,['Balkon/Terrasse'],679.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin","37,2 m²",1 Zi.1,"['Einbauküche', 'Keller']",199.000 €
"Hellersdorf (Hellersdorf), Berlin",89 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",279.000 €
"Niederschöneweide (Treptow), Berlin","64,75 m²","2,5 Zi.2,5","['Balkon/Terrasse', 'Garten', 'Keller']",189.000 €
"Charlottenburg (Charlottenburg), Berlin","197,93 m²",4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+2']",1.290.000 €
"Schnackenburgstr. 7#, Friedenau (Schöneberg), Berlin","73,46 m²",3 Zi.3,['Provisionsfrei*'],361.460 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",70 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche']",349.000 €
"Charlottenburg (Charlottenburg), Berlin","127,94 m²",3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",649.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin","41,78 m²",1 Zi.1,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",195.000 €
"Lichterfelde (Steglitz), Berlin","53,37 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+2']",309.000 €
"Tiergarten (Tiergarten), Berlin",42 m²,1 Zi.1,"['Einbauküche', 'Garten']",135.000 €
"Alt-Moabit 73a, Tiergarten (Tiergarten), Berlin",59 m²,2 Zi.2,['Einbauküche'],299.000 €
"Tempelhof (Tempelhof), Berlin",120 m²,5 Zi.5,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",540.000 €
"Mitte (Mitte), Berlin",143 m²,4 Zi.4,,990.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",54 m²,2 Zi.2,,320.000 €
"Neukölln (Neukölln), Berlin",58 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Aufzug']",310.000 €
"Friedrichshain (Friedrichshain), Berlin",68 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",429.000 €
"Wilmersdorf (Wilmersdorf), Berlin",57 m²,3 Zi.3,['Keller'],200.000 €
"Steglitz (Steglitz), Berlin",68 m²,3 Zi.3,['Balkon/Terrasse'],200.000 €
"Lichterfelde (Steglitz), Berlin",85 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",540.000 €
"Ostseestraße 48, Prenzlauer Berg (Prenzlauer Berg), Berlin","66,29 m²",3 Zi.3,['Balkon/Terrasse'],300.000 €
"Waitzstr. 26, Charlottenburg (Charlottenburg), Berlin","55,1 m²",2 Zi.2,"['Einbauküche', 'Keller']",298.500 €
"Steglitz (Steglitz), Berlin","26,09 m²",1 Zi.1,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",169.000 €
"Schöneberg (Schöneberg), Berlin","39,98 m²",1 Zi.1,['Einbauküche'],172.000 €
"Beusselstraße 8, Tiergarten (Tiergarten), Berlin","78,84 m²",2 Zi.2,['Einbauküche'],327.000 €
"Beusselstraße 36, Tiergarten (Tiergarten), Berlin","39,5 m²",1 Zi.1,,135.000 €
"Tempelhof (Tempelhof), Berlin",120 m²,5 Zi.5,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",575.000 €
"Siemensstadt (Spandau), Berlin",65 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",189.000 €
"Bleibtreustraße 8/9, Charlottenburg (Charlottenburg), Berlin","93,6 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller']",550.000 €
"Bismarckstr. 41, Steglitz (Steglitz), Berlin","80,8 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller']",300.000 €
"Scharnweberstraße 5, Friedrichshain (Friedrichshain), Berlin",115 m²,"4,5 Zi.4,5",['Keller'],395.000 €
"Prausestr. 48, Lichterfelde (Steglitz), Berlin","64,37 m²","2,5 Zi.2,5",,215.000 €
"Friedrichshain (Friedrichshain), Berlin","56,53 m²",2 Zi.2,"['Balkon/Terrasse', 'Keller']",218.000 €
"Steglitz (Steglitz), Berlin","91,84 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller']",350.000 €
"Wedding (Wedding), Berlin","75,6 m²",3 Zi.3,"['Balkon/Terrasse', 'Gäste-WC']",325.000 €
"Pankow (Pankow), Berlin",79 m²,3 Zi.3,"['Balkon/Terrasse', 'Keller']",284.400 €
"Wedding (Wedding), Berlin","56,52 m²",2 Zi.2,['Einbauküche'],240.000 €
"Keithstraße 10, Schöneberg (Schöneberg), Berlin",140 m²,4 Zi.4,"['Einbauküche', 'Aufzug']",990.000 €
"Scharnweberstraße 5, Friedrichshain (Friedrichshain), Berlin","81,62 m²",2 Zi.2,"['Balkon/Terrasse', 'Keller', 'Aufzug']",400.000 €
"Steglitz (Steglitz), Berlin","99,92 m²","3,5 Zi.3,5","['Balkon/Terrasse', 'Keller']",375.000 €
"Steglitz (Steglitz), Berlin","66,73 m²",3 Zi.3,['Keller'],220.000 €
"Genter Straße 12, Wedding (Wedding), Berlin","63,06 m²",2 Zi.2,,165.375 €
"Friedrichsruher Straße 18, Steglitz (Steglitz), Berlin","83,67 m²","3,5 Zi.3,5","['Balkon/Terrasse', 'Keller']",350.000 €
"Salzwedeler Straße 2, Tiergarten (Tiergarten), Berlin",75 m²,3 Zi.3,"['Balkon/Terrasse', 'Keller']",280.000 €
"Otto-Suhr-Allee 114, Charlottenburg (Charlottenburg), Berlin","62,56 m²","2,5 Zi.2,5","['Balkon/Terrasse', 'Aufzug']",225.000 €
"Nordhauser Str. 2, Charlottenburg (Charlottenburg), Berlin","94,93 m²",3 Zi.3,,450.000 €
"Habersaathstraße 39, Mitte (Mitte), Berlin","59,5 m²",2 Zi.2,,325.000 €
"Lichterfelde (Steglitz), Berlin",85 m²,3 Zi.3,"['Balkon/Terrasse', 'Keller']",290.000 €
"Salzwedeler Straße 2, Tiergarten (Tiergarten), Berlin","133,6 m²",4 Zi.4,"['Balkon/Terrasse', 'Gäste-WC']",500.000 €
"Dahlem (Zehlendorf), Berlin",282 m²,7 Zi.7,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+2']",3.100.000 €
"Wrangelstr. 10_f, Steglitz (Steglitz), Berlin","136,28 m²",3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",629.000 €
"Schönhauser Str. 18a_, Steglitz (Steglitz), Berlin","75,34 m²",3 Zi.3,"['Einbauküche', 'Keller']",379.000 €
"Sickingenstraße 77, Tiergarten (Tiergarten), Berlin","43,21 m²",1 Zi.1,"['Balkon/Terrasse', 'Keller']",120.000 €
"Salzwedeler Straße 2, Tiergarten (Tiergarten), Berlin",106 m²,4 Zi.4,['Keller'],360.000 €
"Neukölln (Neukölln), Berlin",49 m²,2 Zi.2,"['Balkon/Terrasse', 'Keller']",299.000 €
"Kniephofstr. 52, Steglitz (Steglitz), Berlin",80 m²,"3,5 Zi.3,5","['Balkon/Terrasse', 'Keller']",369.000 €
"Kniephofstr. 52, Steglitz (Steglitz), Berlin","86,86 m²","3,5 Zi.3,5","['Balkon/Terrasse', 'Keller']",399.000 €
"Ossietzkystrasse 9e, Pankow (Pankow), Berlin","185,92 m²",6 Zi.6,"['Balkon/Terrasse', 'Keller', 'Aufzug']",939.000 €
"Charlottenburg (Charlottenburg), Berlin",262 m²,6 Zi.6,"['Einbauküche', 'Keller', 'Aufzug']",1.900.000 €
"Knorrpromenade 8-, Friedrichshain (Friedrichshain), Berlin","87,97 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller']",399.000 €
"Libauer Str. 13, Friedrichshain (Friedrichshain), Berlin",158 m²,4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+3']",1.999.000 €
"Pankow (Pankow), Berlin",56 m²,"2,5 Zi.2,5",,130.000 €
"Neukölln (Neukölln), Berlin",49 m²,"1,5 Zi.1,5",['Keller'],162.000 €
"Wilmersdorf (Wilmersdorf), Berlin",60 m²,2 Zi.2,"['Einbauküche', 'Keller']",299.000 €
"Friedrichsfelde (Lichtenberg), Berlin",130 m²,4 Zi.4,"['Provisionsfrei*', 'Balkon/Terrasse', 'Einbauküche', '+3']",550.000 €
"Schöneberg (Schöneberg), Berlin","39,81 m²",1 Zi.1,['Keller'],198.000 €
"Friedrichshain (Friedrichshain), Berlin",86 m²,"3,5 Zi.3,5","['Balkon/Terrasse', 'Einbauküche', 'Keller', '+2']",598.000 €
"Klosterstraße 65, Mitte (Mitte), Berlin",86 m²,3 Zi.3,"['Gäste-WC', 'Aufzug']",795.150 €
"Gotenstraße 43, Schöneberg (Schöneberg), Berlin",54 m²,2 Zi.2,['Keller'],200.000 €
"Neukölln (Neukölln), Berlin",65 m²,2 Zi.2,,360.000 €
"Tiergarten (Tiergarten), Berlin",60 m²,2 Zi.2,,249.000 €
"Schliemannstraße 41, Prenzlauer Berg (Prenzlauer Berg), Berlin","63,4 m²",2 Zi.2,,450.000 €
"Spandauer Damm 249, Charlottenburg (Charlottenburg), Berlin","61,33 m²","2,5 Zi.2,5","['Provisionsfrei*', 'Balkon/Terrasse']",196.100 €
"Britz (Neukölln), Berlin","65,84 m²",2 Zi.2,"['Balkon/Terrasse', 'Keller']",179.000 €
"Weißensee (Weißensee), Berlin","57,5 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche']",169.500 €
"Spandau (Spandau), Berlin",41 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",120.000 €
"Große-Leege-Str. 14, Alt-Hohenschönhausen (Hohenschönhausen), Berlin","54,36 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",125.000 €
"Neukölln (Neukölln), Berlin","66,08 m²",3 Zi.3,,230.000 €
"Neukölln (Neukölln), Berlin","86,46 m²",4 Zi.4,,315.000 €
"Hainstraße 56, Niederschöneweide (Treptow), Berlin","65,28 m²",3 Zi.3,"['Provisionsfrei*', 'Balkon/Terrasse', 'Keller']",180.000 €
"Mittelweg 53, Neukölln (Neukölln), Berlin","80,31 m²",3 Zi.3,,450.000 €
"Lichterfelde (Steglitz), Berlin",85 m²,3 Zi.3,"['Balkon/Terrasse', 'Keller']",215.000 €
"Scharnweberstraße 5, Friedrichshain (Friedrichshain), Berlin",116 m²,4 Zi.4,['Keller'],399.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin","66,43 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",285.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin","97,01 m²",2 Zi.2,"['Balkon/Terrasse', 'Keller', 'Aufzug']",725.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",197 m²,5 Zi.5,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",1.390.000 €
"Lincolnstr. 15, Friedrichsfelde (Lichtenberg), Berlin","53,06 m²",2 Zi.2,"['Balkon/Terrasse', 'Keller']",185.000 €
"Clayallee 18, Dahlem (Zehlendorf), Berlin","93,98 m²",1 Zi.1,"['Provisionsfrei*', 'Balkon/Terrasse']",855.218 €
"Paul-Robeson-Straße 34, Prenzlauer Berg (Prenzlauer Berg), Berlin",69 m²,2 Zi.2,"['Einbauküche', 'Keller']",339.000 €
"Clayallee 18, Dahlem (Zehlendorf), Berlin","55,78 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse']",624.736 €
