index,id,host_is_superhost,host_identity_verified,neighbourhood,neighbourhood_group_cleansed,latitude,longitude,accommodates,bed_type,price,cleaning_fee,guests_included,extra_people,review_scores_rating,instant_bookable,cancellation_policy,moderate,strict,private,size,stairless,luggage_dropoff,balcony,elevator,distance,loc
1660,2649916,0,1,Neukölln,Neukölln,52.472730000000006,13.429129999999999,4,1,99,0,2,10,96.0,0,moderate,1,0,1,124,0,0,0,0,3.74450091061945,Neukölln (nh)
1662,2654121,0,1,Neukölln,Neukölln,52.47176999999999,13.42635,6,1,105,60,2,10,97.0,0,moderate,1,0,1,120,0,0,0,0,3.7610222614112443,Neukölln (nh)
1664,2657671,1,0,Friedrichshain,Friedrichshain-Kreuzberg,52.50996,13.458829999999999,3,1,34,10,1,10,96.0,0,flexible,0,0,0,24,0,0,0,0,3.784637755010338,Friedrichshain (nh)
1665,2658134,0,0,Friedrichshain,Friedrichshain-Kreuzberg,52.50571,13.46965,4,1,50,35,1,25,100.0,0,moderate,1,0,1,18,0,0,1,0,4.4439556541586525,Friedrichshain (nh)
1671,2669517,0,1,Neukölln,Neukölln,52.48045,13.43706,4,1,90,35,2,10,94.0,1,strict,0,1,1,80,0,0,0,0,3.3352386788079387,Neukölln (nh)
1672,2670697,1,0,Prenzlauer Berg,Pankow,52.536559999999994,13.42208,2,1,50,30,2,4,97.0,0,moderate,1,0,1,30,0,1,0,0,3.9468077776736186,Prenzlauer Berg (nh)
1677,2681688,1,1,Wedding,Mitte,52.55481999999999,13.38756,2,1,35,30,1,12,94.0,1,strict,0,1,0,37,0,1,1,0,5.894672166082727,Wedding (nh)
1681,2689933,0,0,Westend,Charlottenburg-Wilm.,52.518209999999996,13.272910000000001,2,1,60,30,1,0,96.0,0,flexible,0,0,1,10,0,0,0,1,9.047213273955151,other
1686,2700880,0,0,Adlershof,Treptow - Köpenick,52.44005,13.54701,2,1,48,30,2,15,96.0,0,strict,0,1,1,38,0,0,0,0,11.927524786447888,other
1688,2706351,0,1,Wedding,Mitte,52.550630000000005,13.385679999999999,1,1,24,15,2,10,90.0,0,flexible,0,0,0,75,0,0,0,0,5.465740095179295,Wedding (nh)
1697,2729623,0,0,Friedrichshain,Friedrichshain-Kreuzberg,52.50926,13.45856,4,1,129,60,3,20,95.0,0,moderate,1,0,1,140,0,0,0,0,3.7510793996684173,Friedrichshain (nh)
1701,2741691,0,1,Bohnsdorf,Treptow - Köpenick,52.40325,13.57828,3,1,55,40,2,20,94.0,0,moderate,1,0,1,54,0,1,0,0,16.176650486970743,other
1707,2760114,1,1,Zehlendorf,Steglitz - Zehlendorf,52.4331,13.24978,3,1,50,0,2,15,95.0,0,strict,0,1,1,32,1,1,0,0,13.015845502954395,other
1721,2808508,1,1,Neukölln,Neukölln,52.483509999999995,13.42784,2,1,25,35,1,5,98.0,0,strict,0,1,0,100,0,0,0,0,2.6756872678966035,Neukölln (nh)
1725,2820362,0,0,Fennpfuhl,Lichtenberg,52.531119999999994,13.46529,6,1,57,85,1,6,89.0,1,moderate,1,0,1,60,0,1,1,0,5.1994682073361576,Lichtenberg
1726,2820469,0,1,Schöneberg,Tempelhof - Schöneberg,52.49374,13.34326,1,1,40,0,1,0,96.0,0,flexible,0,0,0,64,1,0,0,0,4.243999552721119,Schöneberg (nh)
1732,2831043,0,0,Neukölln,Neukölln,52.46618,13.42499,4,1,56,25,2,10,94.0,0,moderate,1,0,1,80,0,0,1,0,4.307017996494306,Neukölln (nh)
1735,2833785,0,1,Neukölln,Neukölln,52.485009999999996,13.44856,2,0,40,20,2,20,94.0,0,strict,0,1,0,22,0,0,0,0,3.596630461638934,Neukölln (nh)
1737,2836788,0,0,Neukölln,Neukölln,52.485040000000005,13.453529999999999,4,1,90,50,2,15,88.0,0,strict,0,1,1,42,0,0,1,0,3.8804819918396136,Neukölln (nh)
1738,2850204,0,0,Kreuzberg,Friedrichshain-Kreuzberg,52.48896,13.37704,4,1,40,60,2,12,94.0,1,strict,0,1,1,50,0,0,0,0,2.394729869700301,Kreuzberg (nh)
1742,2861732,0,0,Mitte,Mitte,52.51011,13.39342,2,0,50,10,1,10,87.0,0,moderate,1,0,0,100,0,0,0,0,1.0925600575859555,Mitte (nh)
1743,2862433,0,1,Kreuzberg,Friedrichshain-Kreuzberg,52.500890000000005,13.42809,2,1,45,20,1,0,98.0,0,moderate,1,0,0,25,0,0,0,0,1.6326900165690164,Kreuzberg (nh)
1744,2862771,0,0,Charlottenburg,Charlottenburg-Wilm.,52.51627,13.315339999999999,3,1,65,100,1,0,96.0,0,strict,0,1,1,95,0,0,0,0,6.196027572879761,Charlottenburg (nh)
1746,2876427,1,1,Mahlsdorf,Marzahn - Hellersdorf,52.51412,13.608429999999998,1,1,29,20,1,10,96.0,0,flexible,0,0,1,20,1,1,1,0,13.881347833312425,other
1748,2883909,0,0,Charlottenburg,Charlottenburg-Wilm.,52.510619999999996,13.310629999999998,2,1,29,0,1,12,92.0,1,strict,0,1,0,13,0,0,0,0,6.390616688779104,Charlottenburg (nh)
1750,2885872,0,0,Mitte,Mitte,52.534769999999995,13.40444,2,1,93,40,1,0,98.0,0,moderate,1,0,1,65,0,0,0,0,3.5571776408976072,Mitte (nh)
1751,2888184,0,1,Hermsdorf,Reinickendorf,52.6207,13.30151,3,1,60,40,2,15,88.0,0,strict,0,1,1,12,0,1,0,0,14.83520450834683,other
1754,2893967,1,1,Prenzlauer Berg,Pankow,52.552040000000005,13.399870000000002,2,1,42,10,1,15,97.0,0,flexible,0,0,0,22,0,1,0,0,5.485188530275917,Prenzlauer Berg (nh)
1756,2895197,0,0,Prenzlauer Berg,Pankow,52.53917,13.41828,2,1,113,40,1,0,93.0,0,strict,0,1,1,80,0,0,0,0,4.157481916624524,Prenzlauer Berg (nh)
1757,2903199,0,1,Alt-Hohenschönhausen,Lichtenberg,52.541109999999996,13.493479999999998,2,1,26,20,1,15,95.0,0,strict,0,1,0,20,0,0,0,0,7.394405519394865,Lichtenberg
1759,2904747,0,1,Charlottenburg,Charlottenburg-Wilm.,52.499919999999996,13.32139,2,1,66,35,1,30,95.0,0,strict,0,1,0,27,0,1,0,1,5.612328977717178,Charlottenburg (nh)
1763,2923100,1,1,Friedrichshain,Friedrichshain-Kreuzberg,52.524530000000006,13.451170000000001,3,1,44,30,2,10,93.0,0,moderate,1,0,1,16,0,0,0,1,3.9955850100912103,Friedrichshain (nh)
1765,2924980,1,0,Neukölln,Neukölln,52.467,13.420739999999999,4,1,75,55,3,10,97.0,0,strict,0,1,1,50,0,0,0,0,4.133750276386765,Neukölln (nh)
1768,2929593,0,1,Kreuzberg,Friedrichshain-Kreuzberg,52.489059999999995,13.390460000000001,2,1,49,0,1,0,96.0,0,strict,0,1,0,25,0,0,0,0,1.785742612537601,Kreuzberg (nh)
1769,2938293,1,0,Prenzlauer Berg,Pankow,52.55081,13.411710000000001,1,1,30,10,1,0,98.0,0,strict,0,1,0,100,0,1,1,0,5.36500305348096,Prenzlauer Berg (nh)
1772,2945314,1,0,Prenzlauer Berg,Pankow,52.54629,13.40882,2,1,108,0,3,0,98.0,0,strict,0,1,1,80,0,0,1,0,4.848315090027653,Prenzlauer Berg (nh)
1781,2975067,0,0,Friedrichshain,Friedrichshain-Kreuzberg,52.51138,13.457729999999998,1,1,35,20,1,12,97.0,0,strict,0,1,0,24,0,0,0,0,3.7489743101906376,Friedrichshain (nh)
1782,2978004,0,0,Mitte,Mitte,52.52389,13.41073,2,1,39,39,2,20,90.0,0,moderate,1,0,1,60,0,0,0,0,2.388935911296528,Mitte (nh)
1783,2981102,1,1,Kreuzberg,Friedrichshain-Kreuzberg,52.495459999999994,13.41255,6,1,140,50,4,19,95.0,0,strict,0,1,1,100,0,0,0,0,0.9921190000168736,Kreuzberg (nh)
1785,2992093,0,0,Friedrichshain,Friedrichshain-Kreuzberg,52.51934,13.45704,2,1,39,8,1,5,94.0,0,moderate,1,0,0,31,0,0,0,0,4.023972522686148,Friedrichshain (nh)
1799,3030381,1,1,Mitte,Mitte,52.52155,13.405339999999999,4,1,122,90,2,10,93.0,0,strict,0,1,1,50,0,0,0,1,2.0886329981041314,Mitte (nh)
1800,3034573,1,1,Kreuzberg,Friedrichshain-Kreuzberg,52.49949,13.41644,2,0,60,20,2,0,99.0,0,moderate,1,0,0,24,0,1,0,0,0.9075500649171618,Kreuzberg (nh)
1802,3047076,1,1,Schöneberg,Tempelhof - Schöneberg,52.48013,13.340279999999998,5,1,95,40,3,15,93.0,1,strict,0,1,1,50,0,0,1,0,5.0054285070461555,Schöneberg (nh)
1805,3055569,0,1,Neukölln,Neukölln,52.474030000000006,13.42491,3,1,90,60,2,20,98.0,0,moderate,1,0,1,80,0,0,0,0,3.4916941363634835,Neukölln (nh)
1807,3056450,0,1,Schöneberg,Tempelhof - Schöneberg,52.49926,13.34959,2,1,43,20,2,25,90.0,1,flexible,0,0,0,18,0,0,0,1,3.7151796866780846,Schöneberg (nh)
1809,3066273,0,0,Kreuzberg,Friedrichshain-Kreuzberg,52.49545,13.427589999999999,2,1,34,15,1,10,89.0,0,strict,0,1,0,36,0,0,0,0,1.7826088313291388,Kreuzberg (nh)
1814,3078358,0,1,Prenzlauer Berg,Pankow,52.55437,13.41,3,1,58,15,2,15,96.0,0,moderate,1,0,1,50,0,0,0,0,5.75009516399495,Prenzlauer Berg (nh)
1828,3114892,0,1,Prenzlauer Berg,Pankow,52.539190000000005,13.416260000000001,1,0,39,0,1,0,85.0,0,strict,0,1,0,33,0,0,0,0,4.1304220059441485,Prenzlauer Berg (nh)
1830,3124110,1,1,Schmöckwitz,Treptow - Köpenick,52.37641,13.650120000000001,3,1,66,40,2,12,98.0,0,strict,0,1,1,50,0,1,1,0,21.803440950527108,other
1832,3134876,0,0,Schöneberg,Tempelhof - Schöneberg,52.492309999999996,13.356760000000001,4,1,99,35,2,0,98.0,0,moderate,1,0,1,40,0,0,0,1,3.414056868510713,Schöneberg (nh)
1841,3156270,0,0,Kreuzberg,Friedrichshain-Kreuzberg,52.50086999999999,13.44409,4,1,95,80,1,25,96.0,0,strict,0,1,1,100,0,1,1,0,2.7104572287598887,Kreuzberg (nh)
1844,3162527,1,1,Kreuzberg,Friedrichshain-Kreuzberg,52.49953000000001,13.42999,2,1,55,20,1,15,98.0,0,moderate,1,0,0,120,0,0,0,0,1.7847138590601046,Kreuzberg (nh)
1845,3163841,0,1,Friedrichshain,Friedrichshain-Kreuzberg,52.50931,13.4582,4,1,80,15,2,25,96.0,0,strict,0,1,1,75,0,0,0,0,3.7282473407583403,Friedrichshain (nh)
1846,3168968,0,1,Neukölln,Neukölln,52.46552,13.43896,2,1,36,19,2,15,97.0,0,moderate,1,0,0,18,0,0,0,0,4.7660720690063885,Neukölln (nh)
1847,3173620,0,0,Moabit,Mitte,52.53086999999999,13.344439999999999,2,1,60,30,1,25,88.0,1,strict,0,1,0,20,0,0,0,0,5.107936635851445,Moabit (nh)
1849,3179051,0,1,Friedrichshain,Friedrichshain-Kreuzberg,52.52645,13.45164,4,1,120,60,2,10,99.0,0,moderate,1,0,1,130,0,0,1,1,4.152808940741691,Friedrichshain (nh)
1851,3179973,0,1,Baumschulenweg,Treptow - Köpenick,52.46921,13.49363,2,1,50,5,2,10,98.0,0,moderate,1,0,1,60,0,0,0,0,7.115358750325555,other
1852,3182944,0,1,Kaulsdorf,Marzahn - Hellersdorf,52.48001,13.56395,8,1,120,70,1,0,89.0,0,strict,0,1,1,120,0,0,0,0,11.110173272936914,other
1856,3207319,0,1,Friedrichshain,Friedrichshain-Kreuzberg,52.513090000000005,13.4572,5,1,100,20,1,20,94.0,1,strict,0,1,1,10,0,1,0,0,3.7676716402271255,Friedrichshain (nh)
1857,3210996,0,1,Mitte,Mitte,52.50885,13.39519,2,1,85,45,2,65,97.0,0,moderate,1,0,1,164,0,0,0,1,0.9082777568059254,Mitte (nh)
1860,3218705,0,0,Kreuzberg,Friedrichshain-Kreuzberg,52.493190000000006,13.38693,6,1,129,40,6,60,98.0,0,strict,0,1,1,140,0,0,0,0,1.5808648765804048,Kreuzberg (nh)
1868,3239428,0,1,Neukölln,Neukölln,52.48327,13.44108,2,0,49,30,1,10,84.0,0,flexible,0,0,1,28,0,0,0,0,3.3091953846011766,Neukölln (nh)
1876,3256097,0,0,Kreuzberg,Friedrichshain-Kreuzberg,52.4878,13.392539999999999,2,1,55,35,2,10,93.0,1,strict,0,1,1,30,0,0,0,0,1.8424057590368568,Kreuzberg (nh)
1880,3277019,0,1,Friedrichshain,Friedrichshain-Kreuzberg,52.5249,13.431029999999998,4,1,65,25,2,15,89.0,1,moderate,1,0,1,55,1,0,0,0,3.058354248456989,Friedrichshain (nh)
1881,3281856,1,0,Neukölln,Neukölln,52.4916,13.427270000000002,2,1,42,20,1,10,95.0,1,moderate,1,0,0,80,0,0,0,0,1.9977039571987798,Neukölln (nh)
1882,3292893,0,1,Wedding,Mitte,52.545680000000004,13.3488,4,1,65,30,2,15,96.0,0,strict,0,1,1,20,0,0,0,0,6.065309480962182,Wedding (nh)
1884,3296878,0,1,Wittenau,Reinickendorf,52.58524,13.342,2,1,33,30,1,10,92.0,0,moderate,1,0,0,35,0,1,0,0,10.087027832924658,other
1889,3308204,0,1,Prenzlauer Berg,Pankow,52.5328,13.433760000000001,2,1,30,25,1,5,99.0,1,strict,0,1,0,125,0,0,1,0,3.892487065898391,Prenzlauer Berg (nh)
1891,3310624,1,0,Wedding,Mitte,52.54334,13.3483,6,1,65,20,1,15,95.0,0,strict,0,1,1,46,1,0,0,0,5.884607392813615,Wedding (nh)
1893,3314395,1,1,Friedrichshain,Friedrichshain-Kreuzberg,52.515130000000006,13.458860000000001,2,1,24,8,1,8,94.0,1,strict,0,1,0,27,0,0,0,1,3.9478257008700184,Friedrichshain (nh)
1896,3321419,0,1,Prenzlauer Berg,Pankow,52.5299,13.432379999999998,4,1,89,45,4,0,94.0,1,strict,0,1,1,86,0,0,0,0,3.568985596046637,Prenzlauer Berg (nh)
1900,3325692,0,1,Wedding,Mitte,52.541709999999995,13.40035,2,1,35,10,1,0,93.0,0,strict,0,1,0,22,0,0,0,0,4.336533038766747,Wedding (nh)
1902,3328431,0,0,Friedrichshain,Friedrichshain-Kreuzberg,52.51409,13.46945,3,1,30,20,1,10,91.0,0,flexible,0,0,0,30,0,0,0,0,4.59354590278661,Friedrichshain (nh)
1904,3331242,0,1,Neukölln,Neukölln,52.482440000000004,13.44325,2,1,65,20,2,0,95.0,0,strict,0,1,1,40,0,0,0,0,3.480759228772742,Neukölln (nh)
1907,3334842,0,1,Prenzlauer Berg,Pankow,52.549080000000004,13.41554,2,1,100,25,2,10,99.0,0,moderate,1,0,1,72,0,0,0,0,5.205476757060258,Prenzlauer Berg (nh)
1911,3346269,0,1,Charlottenburg,Charlottenburg-Wilm.,52.50665,13.320570000000002,2,1,30,10,1,15,91.0,1,flexible,0,0,0,30,0,0,0,1,5.674723305507531,Charlottenburg (nh)
1915,3349233,0,0,Prenzlauer Berg,Pankow,52.53853,13.42278,4,1,60,0,3,12,87.0,1,strict,0,1,0,58,0,0,0,0,4.169873855270142,Prenzlauer Berg (nh)
1923,3367119,0,1,Kreuzberg,Friedrichshain-Kreuzberg,52.493390000000005,13.382779999999999,2,1,57,30,1,35,100.0,0,strict,0,1,0,40,0,0,0,0,1.7851708635021382,Kreuzberg (nh)
1925,3376380,0,0,Weißensee,Pankow,52.55539,13.44689,3,1,38,0,1,0,92.0,0,flexible,0,0,0,25,0,0,0,0,6.524834362444998,other
1926,3378411,0,1,Friedrichshain,Friedrichshain-Kreuzberg,52.51659,13.44607,2,1,28,10,1,0,98.0,0,flexible,0,0,0,14,0,0,0,1,3.2247375176047233,Friedrichshain (nh)
1933,3389030,0,0,Friedenau,Tempelhof - Schöneberg,52.46849,13.32187,4,1,75,80,1,0,98.0,1,strict,0,1,1,75,0,0,0,0,6.75235345230511,other
1935,3395839,0,0,Prenzlauer Berg,Pankow,52.537240000000004,13.4134,3,1,80,50,2,30,98.0,0,moderate,1,0,1,85,0,0,0,0,3.8823402177543795,Prenzlauer Berg (nh)
1942,3414976,1,1,Kreuzberg,Friedrichshain-Kreuzberg,52.4976,13.421510000000001,2,0,25,15,1,12,97.0,0,moderate,1,0,0,15,0,1,0,0,1.3074714472010789,Kreuzberg (nh)
1965,3461424,0,0,Mitte,Mitte,52.53365,13.40528,2,1,90,0,1,0,78.0,0,flexible,0,0,0,74,0,0,0,0,3.4334138094525786,Mitte (nh)
1966,3462902,0,0,Wilmersdorf,Charlottenburg-Wilm.,52.49285,13.3301,9,1,90,40,1,0,75.0,0,strict,0,1,1,70,0,0,0,1,5.134277365285069,Wilmersdorf (nh)
1967,3464638,1,1,Prenzlauer Berg,Pankow,52.53536,13.43195,3,1,28,15,1,15,94.0,0,strict,0,1,0,25,0,1,0,0,4.081334415310767,Prenzlauer Berg (nh)
1970,3474302,1,0,Karlshorst,Lichtenberg,52.49309,13.52941,2,1,80,0,1,0,99.0,1,strict,0,1,1,33,0,1,1,0,8.546247245774989,Lichtenberg
1972,3476663,0,1,Neukölln,Neukölln,52.48859,13.43591,4,1,95,60,2,30,100.0,0,flexible,0,0,1,60,0,0,1,0,2.6658367808601358,Neukölln (nh)
1975,3483584,1,1,Prenzlauer Berg,Pankow,52.536159999999995,13.431629999999998,3,1,28,15,1,15,91.0,0,strict,0,1,0,25,0,1,0,0,4.150752078076682,Prenzlauer Berg (nh)
1979,3492202,0,1,Mitte,Mitte,52.506040000000006,13.42539,4,1,40,150,1,5,92.0,0,moderate,1,0,1,85,0,0,1,1,1.4813034742412208,Mitte (nh)
1982,3494592,0,0,Prenzlauer Berg,Pankow,52.530519999999996,13.4186,2,1,39,15,2,5,90.0,0,moderate,1,0,0,150,0,0,0,1,3.235404951066801,Prenzlauer Berg (nh)
1988,3508253,0,0,Prenzlauer Berg,Pankow,52.5364,13.420279999999998,3,1,40,30,2,10,97.0,1,moderate,1,0,0,50,0,1,0,0,3.8940492958291975,Prenzlauer Berg (nh)
1989,3508834,1,1,Mitte,Mitte,52.53187,13.390939999999999,2,1,48,0,1,0,96.0,0,strict,0,1,0,15,0,0,0,0,3.3562546479525164,Mitte (nh)
1990,3509628,1,1,Tempelhof,Tempelhof - Schöneberg,52.47263,13.380239999999999,2,1,50,30,2,10,98.0,0,moderate,1,0,1,40,0,1,0,0,3.723554485493203,other
2025,3575402,0,1,Neukölln,Neukölln,52.48073,13.42508,4,1,46,25,2,15,86.0,0,moderate,1,0,1,60,0,0,0,0,2.8312107684337016,Neukölln (nh)
2027,3579402,0,1,Neukölln,Neukölln,52.47356,13.44121,2,1,39,0,1,9,93.0,0,moderate,1,0,0,20,0,1,0,0,4.104466243657428,Neukölln (nh)
2049,3607304,0,1,Kreuzberg,Friedrichshain-Kreuzberg,52.48999,13.39609,2,1,66,30,1,0,96.0,0,moderate,1,0,1,60,0,0,0,0,1.5237483766692324,Kreuzberg (nh)
2051,3608625,1,1,Mitte,Mitte,52.50954,13.39869,2,1,65,20,1,0,96.0,0,strict,0,1,0,100,1,0,0,1,0.8382034224768344,Mitte (nh)
2054,3613880,0,1,Prenzlauer Berg,Pankow,52.53589,13.4299,5,1,125,30,1,0,95.0,0,flexible,0,0,1,105,0,0,0,0,4.072533212009558,Prenzlauer Berg (nh)
2058,3626356,1,0,Schöneberg,Tempelhof - Schöneberg,52.48911,13.3585,2,0,85,30,1,0,95.0,0,moderate,1,0,1,60,0,0,0,0,3.4452000429957237,Schöneberg (nh)
2060,3627070,0,1,Neukölln,Neukölln,52.49386,13.42565,3,1,80,25,2,5,93.0,1,moderate,1,0,1,70,0,0,0,0,1.7601389850358633,Neukölln (nh)
2070,3635382,0,1,Kreuzberg,Friedrichshain-Kreuzberg,52.49981,13.44051,5,1,102,20,1,0,95.0,0,moderate,1,0,1,80,0,0,0,0,2.481898709680211,Kreuzberg (nh)
2072,3648134,1,0,Rummelsburg,Lichtenberg,52.50521,13.479239999999999,2,1,44,25,1,5,94.0,0,strict,0,1,1,18,0,1,0,0,5.0883016318267345,Lichtenberg
2073,3653480,0,0,Mitte,Mitte,52.52798000000001,13.38455,4,1,86,70,1,20,96.0,0,moderate,1,0,1,45,0,0,0,1,3.100722134689614,Mitte (nh)
2078,3659710,0,1,Prenzlauer Berg,Pankow,52.553580000000004,13.405970000000002,3,1,55,0,1,0,83.0,0,flexible,0,0,0,25,0,0,0,0,5.650022524104933,Prenzlauer Berg (nh)
2081,3663627,1,0,Baumschulenweg,Treptow - Köpenick,52.44953,13.478620000000001,1,1,35,35,1,25,95.0,1,moderate,1,0,1,46,0,0,0,0,7.777219498020012,other
2084,3665716,1,1,Friedrichshain,Friedrichshain-Kreuzberg,52.50646,13.467570000000002,5,1,57,25,1,15,93.0,0,strict,0,1,1,67,0,1,0,0,4.310641882873106,Friedrichshain (nh)
2089,3671820,0,0,Friedrichshain,Friedrichshain-Kreuzberg,52.52265,13.448960000000001,2,1,36,20,2,10,94.0,0,strict,0,1,0,100,0,0,0,1,3.750827456882581,Friedrichshain (nh)
2098,3686192,0,1,Weißensee,Pankow,52.55196,13.449470000000002,4,1,100,25,2,25,94.0,0,strict,0,1,1,70,0,0,1,0,6.268691608242468,other
2099,3691107,0,1,Prenzlauer Berg,Pankow,52.55351999999999,13.41324,2,1,28,10,2,0,94.0,0,moderate,1,0,0,25,0,0,0,0,5.6753028934196195,Prenzlauer Berg (nh)
2105,3700984,1,1,Charlottenburg,Charlottenburg-Wilm.,52.50564,13.32736,2,1,80,45,2,10,93.0,0,strict,0,1,1,45,0,1,0,1,5.208586512826741,Charlottenburg (nh)
2107,3701404,0,0,Wedding,Mitte,52.540240000000004,13.38969,2,0,38,45,1,18,93.0,0,strict,0,1,0,100,0,0,0,1,4.279028120610152,Wedding (nh)
2109,3707444,0,1,Mitte,Mitte,52.532,13.405879999999998,2,1,79,50,1,0,99.0,0,strict,0,1,1,10,0,0,0,0,3.2511799351063804,Mitte (nh)
2111,3707987,1,1,Mitte,Mitte,52.52843000000001,13.406770000000002,2,1,90,30,1,0,98.0,0,flexible,0,0,1,80,0,0,0,1,2.8575750073186397,Mitte (nh)
2112,3713261,0,0,Neukölln,Neukölln,52.47582,13.42274,4,1,77,35,2,10,95.0,0,strict,0,1,1,100,0,0,0,1,3.2508164272690334,Neukölln (nh)
2113,3714074,0,1,Kreuzberg,Friedrichshain-Kreuzberg,52.49175,13.4023,2,1,38,0,2,10,98.0,0,moderate,1,0,1,68,0,0,0,0,1.2329974498663765,Kreuzberg (nh)
2116,3717145,1,0,Schöneberg,Tempelhof - Schöneberg,52.49149,13.338379999999999,1,1,29,0,1,0,98.0,1,flexible,0,0,0,25,0,0,0,1,4.627250458681001,Schöneberg (nh)
2118,3717751,1,1,Mitte,Mitte,52.53585,13.393460000000001,2,1,49,20,1,20,97.0,0,moderate,1,0,0,20,1,1,0,0,3.747943730238422,Mitte (nh)
2126,3724102,0,0,Mitte,Mitte,52.53625,13.397570000000002,2,1,45,15,1,12,94.0,0,strict,0,1,0,180,0,0,0,0,3.7483951597929477,Mitte (nh)
2132,3728039,0,0,Friedrichshain,Friedrichshain-Kreuzberg,52.51726,13.467570000000002,4,1,60,40,2,30,89.0,1,strict,0,1,1,47,0,1,0,0,4.582805181828556,Friedrichshain (nh)
2142,3745883,0,1,Kreuzberg,Friedrichshain-Kreuzberg,52.49855,13.441410000000001,2,1,30,40,1,10,96.0,0,strict,0,1,0,70,0,0,0,0,2.5642915603298935,Kreuzberg (nh)
2146,3750084,0,1,Mitte,Mitte,52.538140000000006,13.397070000000001,2,1,60,20,1,0,96.0,0,flexible,0,0,1,60,0,0,0,0,3.961095518003154,Mitte (nh)
2152,3771794,0,1,Prenzlauer Berg,Pankow,52.532680000000006,13.422220000000001,4,1,90,20,2,10,96.0,0,flexible,0,0,1,70,0,0,0,0,3.5419638560353524,Prenzlauer Berg (nh)
2154,3776376,1,0,Friedrichshain,Friedrichshain-Kreuzberg,52.519490000000005,13.45234,2,1,90,40,1,0,98.0,0,moderate,1,0,1,60,0,1,0,0,3.7522165769460796,Friedrichshain (nh)
2155,3776518,0,0,Mitte,Mitte,52.526419999999995,13.4094,2,1,55,20,1,10,100.0,0,moderate,1,0,0,40,1,1,0,0,2.652368922463716,Mitte (nh)
2156,3778980,0,1,Lichtenberg,Lichtenberg,52.51752,13.478729999999999,1,1,40,30,1,25,100.0,0,moderate,1,0,0,24,0,0,1,0,5.305416042947964,Lichtenberg
2158,3780569,0,1,Steglitz,Steglitz - Zehlendorf,52.46383,13.33182,1,1,30,0,1,0,95.0,0,flexible,0,0,0,22,0,0,0,0,6.53921588780442,other
2159,3780876,1,1,Wedding,Mitte,52.547,13.347270000000002,2,1,30,0,1,10,99.0,1,moderate,1,0,0,55,0,0,1,0,6.244648022902319,Wedding (nh)
2165,3788727,0,1,Mariendorf,Tempelhof - Schöneberg,52.42103,13.391570000000002,7,1,105,75,2,6,92.0,0,strict,0,1,1,100,0,0,1,0,9.130192614714101,other
2167,3789274,0,0,Rummelsburg,Lichtenberg,52.5027,13.490039999999999,3,1,65,30,3,30,96.0,0,moderate,1,0,1,68,0,0,0,0,5.812294244772018,Lichtenberg
2173,3795327,0,1,Prenzlauer Berg,Pankow,52.55359,13.41143,4,1,65,0,1,0,97.0,0,strict,0,1,1,70,0,0,0,0,5.671128035700488,Prenzlauer Berg (nh)
2177,3801906,0,1,Neukölln,Neukölln,52.47691999999999,13.423720000000001,2,1,30,0,1,0,95.0,0,flexible,0,0,0,18,0,0,0,0,3.1655379120907985,Neukölln (nh)
2179,3804879,0,1,Friedrichshain,Friedrichshain-Kreuzberg,52.50846,13.458429999999998,2,1,45,15,1,15,98.0,0,moderate,1,0,1,62,0,0,0,0,3.7263735068672452,Friedrichshain (nh)
2181,3805915,1,0,Friedrichshain,Friedrichshain-Kreuzberg,52.51104,13.45534,1,1,32,0,1,10,95.0,0,moderate,1,0,0,120,0,0,0,0,3.582941505990879,Friedrichshain (nh)
2182,3807087,0,1,Wilmersdorf,Charlottenburg-Wilm.,52.48036999999999,13.319720000000002,2,1,43,50,1,15,98.0,0,strict,0,1,1,70,0,1,0,0,6.237041856616343,Wilmersdorf (nh)
2189,3815491,0,0,Prenzlauer Berg,Pankow,52.53266,13.42114,4,1,95,60,1,0,98.0,1,strict,0,1,1,140,0,0,0,1,3.5153325360857237,Prenzlauer Berg (nh)
2194,3823118,1,1,Neukölln,Neukölln,52.46813,13.4224,4,1,65,35,2,10,93.0,0,moderate,1,0,1,73,1,0,1,0,4.045825719230402,Neukölln (nh)
2210,3849605,0,1,Prenzlauer Berg,Pankow,52.54837,13.438360000000001,2,0,28,10,1,20,88.0,1,strict,0,1,0,20,0,0,0,0,5.572136433477786,Prenzlauer Berg (nh)
2211,3851154,0,1,Schöneberg,Tempelhof - Schöneberg,52.481280000000005,13.3511,1,1,32,0,1,10,89.0,0,moderate,1,0,0,20,0,1,1,0,4.315699607164064,Schöneberg (nh)
2219,3862905,0,1,Weißensee,Pankow,52.54855,13.46088,2,1,60,35,1,20,98.0,1,moderate,1,0,0,80,0,0,0,0,6.373456439082553,other
2220,3864924,0,0,Mitte,Mitte,52.5261,13.40595,2,0,50,12,1,10,90.0,0,strict,0,1,0,25,0,0,0,0,2.595865382459385,Mitte (nh)
2222,3866359,1,0,Neukölln,Neukölln,52.47043000000001,13.425089999999999,4,1,69,100,1,0,96.0,0,strict,0,1,1,76,0,0,0,0,3.8660227917734433,Neukölln (nh)
2223,3866928,1,0,Prenzlauer Berg,Pankow,52.530190000000005,13.433229999999998,2,1,40,10,1,20,99.0,0,moderate,1,0,0,23,0,0,0,0,3.6271266429491025,Prenzlauer Berg (nh)
